asset	url
OfficialAssets.Common.Icons.Phone	resdb:///5eccd84212c2514b18fe19211eb483765dec53fa20eacbd7e3d07d9073c5ea20.png
OfficialAssets.Common.Icons.Pin	resdb:///2d3f43fd9a1b07ac194729358b824b1f66cfb94bdbcc0f208d33e549d1c42722.png
OfficialAssets.Common.Icons.Play	resdb:///21e3203dd9dd13a0870dbf67459bab7d949796bcaa777a197bde43f0eb52c50a.png
OfficialAssets.Common.Icons.Plus	resdb:///40450e91181fb85f63b63b3050b4f71f5333fde4485801365c342ca626390736.png
OfficialAssets.Common.Icons.Power	resdb:///bfbb8ebe9fa56918eb136e2daa9e569ef01b2ba601a90671b4ad53981ef719b5.png
OfficialAssets.Common.Icons.Reload	resdb:///8f2a6dcd8c3218f380db1b9a4c632eeeaba5e09303d975b8f5e15d74a4511d7d.png
OfficialAssets.Common.Icons.Resize	resdb:///170c5f577cf1ce6b003ad45a687efbc239fb448b5566d7b363d67e978010f62b.png
OfficialAssets.Common.Icons.Right_Arrow	resdb:///5d6b5b3bb6c2d8b64fb9bdfa6ea368202917de8991c852e87d7de21f40055e58.png
OfficialAssets.Common.Icons.Right_Chevron	resdb:///c57d1903098b77c80f5a82037d0a7c7f59733d549db819815946886ba79122f9.png
OfficialAssets.Common.Icons.Round_Questionmark	resdb:///0b8ec2901c5c530f57556fe5b0354fbbcb66a004d38be3737719378b646e287a.png
OfficialAssets.Common.Icons.Rubbish	resdb:///b8f8d8400e2a005a26e608ad8aa650e55e4abd15dc8cbabe4b99edecfc990b35.png
OfficialAssets.Common.Icons.Search	resdb:///65125319feef70e7118acf5018c9833eb2f52366604ce256eb2d04474f41b512.png
OfficialAssets.Common.Icons.Snowflake	resdb:///0ddc5191dff516abd53c226da09dc87ac0f2f10a274d5077d3132060ec585c63.png
OfficialAssets.Common.Icons.Source	resdb:///5b2ef8636f86cd67ca070000550255e9a99fda206ee69ce3a967fa6fb5eca86d.txt
OfficialAssets.Common.Icons.Square	resdb:///964aa086e0f1e49749a701163381ee17d967ed9cea77ddab976a1cb4140d66cc.png
OfficialAssets.Common.Icons.Star	resdb:///b32be6e2dc3b3f867967e414914d58cd8a0042e93e1b3cebc28d47d044d30d7a.png
OfficialAssets.Common.Icons.Sun	resdb:///d75c717360d2ae87ce0d547bbc1659d3df4ebbdfb0f98454650a4938bf415a3b.png
OfficialAssets.Common.Icons.Timer	resdb:///238bdd48508769eafa4860a420d7fa9283282e5e43ca8ca86d563abcf58689b0.png
OfficialAssets.Common.Icons.Toggle	resdb:///729264938a7f0015aa558b1bc64b2e5f225d9ec8ef92572b7cee7b16f6be3755.png
OfficialAssets.Common.Icons.Tree	resdb:///48b9e1445b74737b4b499594233be2267dd99a01d558c2f1c6069a16419c100b.png
OfficialAssets.Common.Icons.Triangle	resdb:///431f31bd02bd95cf39b3c92c7346999899bacad967fb1c1ac230dbadb15ce65a.png
OfficialAssets.Common.Icons.Up_Arrow	resdb:///5ac38974c50255e1bd1c53677cf85b2db46ee56eb2703dd565a75a0ea18c70d7.png
OfficialAssets.Common.Icons.Upload	resdb:///ed184b6ee52e84dc707790db4a3978e255864b79af84ac8aa4e9984ebbf5348b.png
OfficialAssets.Common.Indicators.AudioPlayback	resdb:///ca57f49640f8c8af36591308d35a1378ee1965df208579323db7cfbf5f785e5f.png
OfficialAssets.Common.Indicators.Live_Indicator	resdb:///195ca346b4ee5ccca168177b83c0d733b56c10369b200739d3ee0af6fe9dac2a.png
OfficialAssets.Common.Indicators.Pause	resdb:///0ba637817a0e3881ec00b1bf286233f97e13c581eb6fbecdaacecaeb8e912fee.png
OfficialAssets.Common.Indicators.Play	resdb:///70d578fbbf22c27c0793c5b3835009876974c787e5d933189fe85f9dfaecef67.png
OfficialAssets.Common.Indicators.Stop	resdb:///c25a68c85b3b62a2cbafe1d25636577148aff1031cdc59d6c5ab5993fa18b691.png
OfficialAssets.Common.Indicators.TopLeftCornerTriangle	resdb:///1e8dfe1db5c17eb222887b9b78a745d02cee5fe316a03c82eacdc91ea3f779a0.png
OfficialAssets.Common.Misc.SquareReticle	resdb:///90001d54f25b142a2f1fb7913ff454abf0f350dd01facc27367671c9bc99d23a.png
OfficialAssets.Common.Misc.TransparentStripe	resdb:///68a5a5e8386b95877df49cb560c51647bc0a42744d1023b2e40c4c0690c8340b.png
OfficialAssets.Common.Noise.GrayscaleCloudHighContrast	resdb:///177dbd0825850513682377c44a54fa8b8fc0c9077b746b1b37f1e007594f3fa2.png
OfficialAssets.Common.Noise.PixelNoise	resdb:///aedca4d3da09eaaa3ef2621025e3fd713019395ec4f0c0ea1d09af5146e8f787.png
OfficialAssets.Common.Noise.PixelNoise_Normal	resdb:///42e7b126b10a98f5d6e3e6b34d9414453459e77b4c40fe4ce8f6ac8f2deafd92.png
OfficialAssets.Common.Particles.Basic	resdb:///3fd0bfad6dc8686ff65a0133244c5e33ac97865b3648da4cfcc86bf05abce3d5.png
OfficialAssets.Common.Particles.Basic_Shapes.LayeredCircle	resdb:///0620cafd6db642f06ad45141f988294d1505fa36f997823f79007ea01817c3a1.png
OfficialAssets.Common.Particles.Disc	resdb:///cb7ba11c8a391d6c8b4b5c5122684888a6a719179996e88c954a49b6b031a845.png
OfficialAssets.Common.Particles.Effects.Flame_Atlas8x8	resdb:///afb75ec8c4349c9ca46abc80fb04d4de656476b63f0d60a468dbc7c4c524d753.png
OfficialAssets.Common.Particles.Specific.MacroFlare	resdb:///6f0d275d3702481474086a5dbbc45ce25ce9f383a29b36e11aa943ce0da33a84.png
OfficialAssets.Common.Particles.Specific.MacroFlareGradient	resdb:///6b6d164082484616f844a9e323413f547b3372cc9a6785ec135ad17ec1779b4f.png
OfficialAssets.Common.Particles.Specific.Snowflake	resdb:///dd9e0d22985fca593b68eeef7ef5f7f23fe50a93b5e4d4cb818912c695629e3d.png
OfficialAssets.Common.Sound_Effect.Bloating	resdb:///143b98187fcd01fa0f85614557afd83fe05347815d6042ea04e336248ccfdec8.wav
OfficialAssets.Common.Sound_Effect.Explosion	resdb:///295e5ea65ad66e74273a851927ed22a3d73f6f75cf1daa86c938f23dc46b0be5.wav
OfficialAssets.DeviceModels.GenericTracker	resdb:///cf557ae7bb6236e5c491f2d23a87913e24075774ef958ed3bf722e6bc52fae0c.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.BODY	resdb:///2b3f7d36b61816f2925322cafad9aedeae0d25f61e02bd2043dfc2e47b88b941.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.GRASP	resdb:///f80270ac6b3a4161c465e9da75201dd3db1a12f058b4d271e3df8116a041f8b9.brson
